HHID,TRIPDIST,TRIPSPD,TRIPDUR
100019,3.342244898,14.90857143,682.7959184
100020,6.560697674,21.3444186,984.9268293
100026,6.87972973,23.50747748,881.872549
100029,9.708888889,29.71388889,926.8888889
100039,5.75625,18.2075,756.5
100040,5.724347826,29.02304348,684.2272727
100049,5.755757576,24.52484848,701.9
100050,2.0375,12.0625,565.8
100079,8.001578947,29.84684211,798.2571429
100081,7.163636364,17.84818182,1056.35
100084,1.44,18.57,270.6923077
100087,5.222380952,25.56809524,676.5
100118,4.303333333,21.97244444,617.6829268
100120,2.718125,21.38625,422.3333333
100126,2.9475,14.906875,627.4193548
100131,14.88424242,28.60393939,1231.71875
100135,2.650740741,17.40555556,500.3269231
100136,5.603043478,27.86434783,658.5217391
100139,1.212222222,13.68055556,774.8823529
100140,1.875151515,17.57060606,405.1818182
100153,4.791052632,17.02263158,714.8
100157,9.148235294,25.03029412,972.4666667
100170,7.973333333,13.54666667,1386
100175,11.02333333,31.78230769,1173.164384
100176,25.26290323,22.33967742,2232.870968
100177,6.71245614,22.00684211,937.54
100185,10.8948,24.5932,1291.28
100191,5.268,19.498,843.5
100195,9.744067797,24.89983051,1246.482759
100200,3.76125,14.982875,999.2
100205,10.3237931,30.67689655,993.862069
100206,3.64483871,16.26548387,747.2758621
100210,8.691666667,19.27833333,1805.166667
100216,5.741904762,27.32904762,737.6190476
100218,3.911923077,19.71884615,910.7916667
100238,4.618421053,21.77122807,799.1607143
100241,7.185641026,28.74512821,1095.25
100244,4.515,13.35,1195.5
100245,9.633333333,29.36458333,1067.909091
100255,11.05517241,17.84413793,1180.037037
100258,6.32,20.78452381,1018.428571
100263,5.367142857,20.52619048,848.0952381
100266,3.592,12.6312,511.952381
100268,4.233125,13.919375,983.3076923
100274,3.48375,16.49125,760.125
100275,2.225,16.93214286,420.2307692
100288,3.650909091,20.31272727,529.4
100289,3.151636364,22.62436364,501.0181818
100292,4.909649123,20.96403509,670.122807
100309,5.731666667,24.19566667,788.2
100323,6.378367347,21.90673469,976.9583333
100326,1.290625,13.429375,339.0666667
100328,9.351538462,25.18461538,1194.5
100337,1.715263158,6.422894737,1062.25
100341,11.06093023,21.60581395,1080.372093
100347,10.64555556,25.24166667,1200.235294
100350,4.332580645,23.77032258,730.6129032
100370,7.252972973,19.09878378,976.7945205
100373,3.099361702,15.7512766,637.6956522
100383,3.705333333,15.55408333,618.745614
100387,2.981333333,18.272,485.75
100394,5.894919355,21.59669355,835.6203704
100402,2.622857143,11.45142857,650
100419,2.381935484,15.82258065,528.2222222
100422,11.1915625,32.9203125,1065.967742
100428,6.018095238,27.47333333,756.3333333
100435,7.172941176,19.80764706,1047.266667
100453,8.49,22.1525,991.6875
100465,8.666451613,30.30419355,843.2903226
100486,8.931509434,26.90566038,1121.612245
100488,5.177419355,16.00677419,931.1724138
100489,4.2,19.52533333,675.6071429
100497,5.368518519,18.17759259,879.7924528
100499,3.427,13.736,989.6176471
100501,11.86133333,24.61466667,3333.4
100505,13.0726087,24.13130435,1530.5
100508,14.16461538,30.26807692,1403.36
100513,11.47459459,28.22351351,1080.882353
100514,6.581944444,23.02138889,869.1944444
100536,1.820338983,11.19474576,639.2115385
100537,4.137631579,15.07868421,822.7368421
100542,0.731538462,9.588461538,283.3333333
100555,3.218666667,18.09,648.7142857
100561,2.143333333,6.98,1105
100573,6.657311828,19.56870968,988.1348315
100588,3.59625,21.38708333,562.2391304
100593,5.654615385,26.46692308,567.3846154
100601,7.002592593,21.22296296,1027.041667
100604,5.833157895,21.10684211,954.7222222
100605,6.117272727,25.68363636,697.65
100607,4.238039216,20.31196078,625.1489362
100645,3.217346939,17.13510204,633.4090909
100647,9.844166667,19.70472222,1601.411765
100666,2.733690476,14.7272619,662.9518072
100698,4.07,18.2035,614.2777778
100705,2.78875,15.44416667,700.15
100726,10.45583333,22.64166667,1361.521739
100741,0.5590625,5.050625,464.8214286
100773,2.388181818,19.46909091,391.5909091
100775,10.35717172,19.03242424,1237.894737
100776,11.056875,26.5971875,1075.275862
100788,5.667413793,19.17551724,928.8867925
100801,12.51368421,35.07263158,1018.888889
100831,5.023636364,21.5,690.5555556
100833,7.222156863,26.83352941,946.04
100851,4.757413793,23.11051724,596.4137931
100852,2.69,20.66,489.5
100891,6.242222222,26.96777778,759.7777778
100892,7.672413793,24.15137931,935.5714286
100894,8.104339623,19.96,945.9
100926,3.652,18.35933333,712.4545455
100949,4.018888889,15.198,669.8409091
100954,5.94,17.86,1061.5
100956,4.632121212,17.89818182,634.8846154
100961,3.998181818,9.845454545,1783.142857
100967,5.236451613,24.15548387,659.862069
101008,6.039666667,23.90716667,769.0677966
101020,3.293846154,19.92230769,588.9
101054,4.042758621,19.82551724,621.8076923
101085,5.187368421,19.36552632,804.1060606
101086,0.514444444,3.719444444,675.7647059
101104,5.516666667,21.2975,706.6363636
101112,4.974038462,23.74634615,699.04
101116,2.028909091,9.880181818,674.1333333
101120,2.783902439,18.86219512,470.675
101181,12.57,31.20269231,1245.08
101190,6.2288,22.4488,965.48
101204,1.534285714,12.07214286,427.7
101209,4.161904762,18.74809524,775.65
101213,7.929411765,25.7,975.6170213
101214,2.569777778,13.75311111,1240.767442
101224,1.123333333,13.095,284.5454545
101225,8.839090909,30.39772727,980.8636364
101258,2.210487805,15.01195122,459.4146341
101270,4.086708861,15.98506329,786.7368421
101274,4.705833333,18.18083333,947
101302,1.844,12.288,593.1666667
101308,1.492,11.707,364.8888889
101312,4.534285714,19.44818182,719.0140845
101340,7.686666667,22.12141026,971.4054054
101371,2.118461538,14.45076923,530.0263158
101406,8.381538462,28.48557692,902.4807692
101407,5.771176471,23.72176471,811
101411,4.619393939,20.87939394,659.3793103
101414,5.281875,21.0265625,960.4375
101420,10.04789474,26.46,1051.105263
101421,1.799245283,16.16490566,415.9038462
101431,14.5104878,24.85585366,1025.394737
101432,3.702222222,21.53111111,664.9259259
101446,7.016666667,25.42142857,912.3809524
101450,2.333214286,15.41821429,506.0869565
101459,1.834444444,14.96277778,490.0571429
