HHID,Area Type,Workers,Life Cycle,Income Group 1,Income Group 2,Income Group 3,Income Group 4
1,1,1,1,4.64131,4.91955,4.55828,5.79650
2,1,2,1,4.81988,5.07747,5.77688,6.31216
3,1,3,1,6.20307,5.42799,6.68672,6.36269
4,1,4,1,2.83918,6.79139,5.82965,6.89034
5,1,5,1,0.00000,3.37790,14.22109,3.63236
6,1,1,2,4.22531,3.89395,0.00000,1.35433
7,1,2,2,5.74784,5.18164,7.81896,0.00000
8,1,3,2,0.00000,0.00000,0.00000,0.00000
9,1,4,2,1.89193,1.25000,0.00000,0.00000
10,1,5,2,2.96627,0.00000,0.00000,5.41732
11,1,1,3,4.29514,5.44669,4.66340,5.44904
12,1,2,3,0.00000,0.00000,0.00000,0.00000
13,1,3,3,0.00000,0.00000,0.00000,0.00000
14,1,4,3,0.00000,0.00000,0.00000,0.00000
15,1,5,3,0.00000,0.00000,0.00000,0.00000
16,1,1,4,4.33797,5.06331,2.92980,4.99933
17,1,2,4,5.07307,5.39772,6.22435,6.61065
18,1,3,4,4.02470,5.44160,5.66269,6.42666
19,1,4,4,9.67274,6.60560,6.71683,5.88278
20,1,5,4,0.00000,0.00000,5.79194,14.07351
21,2,1,1,6.30902,4.09567,4.34251,6.93872
22,2,2,1,4.93542,6.02093,5.82540,6.50729
23,2,3,1,6.66593,5.66594,7.41647,6.95826
24,2,4,1,5.81686,5.46357,5.64396,5.99105
25,2,5,1,0.00000,0.00000,5.76829,6.37386
26,2,1,2,3.72302,5.40614,0.00000,0.00000
27,2,2,2,4.85571,6.22565,18.14048,10.81219
28,2,3,2,3.67699,0.00000,0.00000,6.53797
29,2,4,2,0.00000,0.00000,4.66028,5.48925
30,2,5,2,0.00000,0.00000,2.13660,1.08949
31,2,1,3,4.45467,5.67472,4.84195,5.85428
32,2,2,3,0.00000,0.00000,0.00000,0.00000
33,2,3,3,0.00000,0.00000,0.00000,0.00000
34,2,4,3,0.00000,0.00000,0.00000,0.00000
35,2,5,3,0.00000,0.00000,0.00000,0.00000
36,2,1,4,5.76837,5.21523,2.92980,5.11889
37,2,2,4,4.22806,5.45767,5.88147,6.88901
38,2,3,4,4.72798,5.44898,5.99503,6.35977
39,2,4,4,0.00000,0.00000,6.76653,5.55743
40,2,5,4,0.00000,0.00000,5.42137,7.87749
41,3,1,1,5.17021,6.91601,0.00000,0.00000
42,3,2,1,9.01389,6.40798,6.96355,9.88652
43,3,3,1,9.28870,5.36092,7.64528,7.42979
44,3,4,1,14.36542,0.00000,7.65829,10.13513
45,3,5,1,6.82608,0.00000,0.00000,0.00000
46,3,1,2,0.00000,0.00000,0.00000,0.00000
47,3,2,2,3.21112,16.69436,0.00000,0.00000
48,3,3,2,1.30651,1.63195,0.00000,0.00000
49,3,4,2,0.00000,0.00000,0.00000,5.24420
50,3,5,2,0.00000,0.00000,0.00000,0.00000
51,3,1,3,5.62989,7.26165,5.07731,5.21164
52,3,2,3,0.00000,0.00000,0.00000,0.00000
53,3,3,3,0.00000,0.00000,0.00000,0.00000
54,3,4,3,0.00000,0.00000,0.00000,0.00000
55,3,5,3,0.00000,0.00000,0.00000,0.00000
56,3,1,4,4.99809,9.88334,0.00000,4.40152
57,3,2,4,0.00000,5.58300,6.51314,6.39684
58,3,3,4,6.12788,8.25541,6.87408,7.88507
59,3,4,4,9.67274,0.00000,7.72350,10.97381
60,3,5,4,0.00000,0.00000,6.90362,5.77294
