ZONE,AT,HH,CarbonTon
1,2,300.000000000000,0.946
2,2,473.000000000000,1.492
3,2,133.000000000000,0.420
4,2,133.000000000000,0.420
5,2,1180.000000000000,3.722
6,2,19.000000000000,0.060
7,2,877.000000000000,2.767
8,2,306.000000000000,0.965
9,2,49.000000000000,0.155
10,1,200.000000000000,0.464
11,2,996.000000000000,3.142
12,2,453.000000000000,1.429
13,2,1267.000000000000,3.997
14,2,624.000000000000,1.968
15,2,432.000000000000,1.363
16,1,1374.000000000000,3.189
17,1,1482.000000000000,3.439
18,1,438.000000000000,1.016
19,1,1104.000000000000,2.562
20,1,390.000000000000,0.905
21,2,845.000000000000,2.666
22,2,1029.000000000000,3.246
23,2,626.000000000000,1.975
24,2,128.000000000000,0.404
25,2,92.000000000000,0.290
26,2,18.000000000000,0.057
27,2,40.000000000000,0.126
28,2,1331.000000000000,4.199
29,2,410.000000000000,1.293
30,2,1297.000000000000,4.091
31,2,554.000000000000,1.748
32,2,540.000000000000,1.703
33,2,1429.000000000000,4.508
34,2,404.000000000000,1.274
35,2,1194.000000000000,3.766
36,2,386.000000000000,1.218
37,2,74.000000000000,0.233
38,2,81.000000000000,0.256
39,2,281.000000000000,0.886
40,2,715.000000000000,2.255
41,2,85.000000000000,0.268
42,2,739.000000000000,2.331
43,2,595.000000000000,1.877
44,2,323.000000000000,1.019
45,2,228.000000000000,0.719
46,2,471.000000000000,1.486
47,2,320.000000000000,1.009
48,2,599.000000000000,1.890
49,2,531.000000000000,1.675
50,2,100.000000000000,0.315
51,2,254.000000000000,0.801
52,2,467.000000000000,1.473
53,2,398.000000000000,1.255
54,2,74.000000000000,0.233
55,2,666.000000000000,2.101
56,2,1149.000000000000,3.625
57,2,931.000000000000,2.937
58,2,530.000000000000,1.672
59,2,49.000000000000,0.155
60,2,0.000000000000,0.000
61,2,0.000000000000,0.000
62,2,187.000000000000,0.590
63,2,48.000000000000,0.151
64,2,557.000000000000,1.757
65,2,1597.000000000000,5.038
66,2,625.000000000000,1.972
67,2,642.000000000000,2.025
68,2,52.000000000000,0.164
69,2,139.000000000000,0.438
70,2,614.000000000000,1.937
71,2,375.000000000000,1.183
72,2,26.000000000000,0.082
73,2,486.000000000000,1.533
74,2,431.000000000000,1.360
75,2,381.000000000000,1.202
76,2,12.000000000000,0.038
77,2,679.000000000000,2.142
78,2,487.000000000000,1.536
79,2,235.000000000000,0.741
80,2,349.000000000000,1.101
81,2,368.000000000000,1.161
82,2,238.000000000000,0.751
83,2,822.000000000000,2.593
