HHID,CarbonEM
100019,0.00212286
100020,0.00333336
100026,0.00356791
100029,0.00394398
100039,0.00321197
100040,0.00233807
100049,0.00265925
100050,0.00183972
100079,0.00319493
100081,0.00491297
100084,0.000869497
100087,0.00248905
100118,0.00227349
100120,0.00133621
100126,0.00201704
100131,0.00641003
100135,0.00155361
100136,0.00209714
100139,0.000648983
100140,0.00100648
100153,0.00314165
100157,0.00435065
100170,0.00608886
100175,0.00464435
100176,0.0138666
100177,0.00332667
100185,0.00483228
100191,0.00293394
100195,0.00451446
100200,0.00276427
100205,0.00449738
100206,0.00212393
100210,0.00526088
100216,0.00239352
100218,0.0019651
100238,0.00233014
100241,0.00299719
100244,0.0036405
100245,0.00411788
100255,0.00688537
100258,0.00303235
100263,0.00261651
100266,0.00287721
100268,0.00291821
100274,0.00190414
100275,0.00124606
100288,0.00187096
100289,0.0014394
100292,0.00243151
100309,0.0024852
100323,0.00320133
100326,0.000888706
100328,0.00422504
100337,0.00299888
100341,0.00575192
100347,0.00547155
100350,0.00213302
100370,0.00399617
100373,0.00189664
100383,0.00221437
100387,0.00179296
100394,0.00304565
100402,0.00256992
100419,0.00146662
100422,0.00445419
100428,0.0026768
100435,0.00426073
100453,0.00397321
100465,0.00345181
100486,0.00402561
100488,0.00333318
100489,0.00237425
100497,0.00309317
100499,0.00239899
100501,0.00591462
100505,0.00683753
100508,0.00631681
100513,0.00572219
100514,0.00325125
100536,0.0014604
100537,0.0028485
100542,0.000728414
100555,0.00179121
100561,0.00310088
100573,0.00355543
100588,0.00184575
100593,0.00253434
100601,0.00363631
100604,0.00309868
100605,0.00275865
100607,0.0022436
100645,0.00195844
100647,0.00560886
100666,0.00180991
100698,0.00238955
100705,0.00173895
100726,0.0053589
100741,0.000643946
100773,0.00122529
100775,0.00679963
100776,0.00555111
100788,0.00255869
100801,0.00497317
100831,0.00262212
100833,0.00303341
100851,0.00217283
100852,0.00130676
100891,0.00267905
100892,0.00366126
100894,0.00485711
100926,0.00187402
100949,0.00299146
100954,0.00346067
100956,0.00276919
100961,0.00354909
100967,0.00257078
101008,0.00294111
101020,0.00184565
101054,0.00228176
101085,0.00296442
101086,0.00029826
101104,0.00319454
101112,0.00223782
101116,0.00207743
101120,0.00139843
101181,0.00496331
101190,0.00309808
101204,0.00103351
101209,0.00214439
