HHID,AvgTRIPDIST,AvgTRIPSPD,AvgTRIPDUR(S)
100019,4.35,20.45,746.69
100020,7.41,23.94,1048.11
100026,9.19,30.65,976.85
100029,10.26,31.29,956.88
100039,6.27,18.78,786.57
100040,5.98,30.34,684.23
100049,6.33,26.98,701.90
100050,4.03,23.21,659.50
100079,8.35,31.66,793.88
100081,11.97,27.98,1238.92
100084,1.89,22.83,293.27
100087,6.33,29.99,699.65
100118,5.31,26.15,665.31
100120,2.90,22.81,422.33
100126,3.94,18.76,733.19
100131,16.32,30.07,1279.93
100135,3.18,20.45,516.77
100136,5.07,27.63,583.80
100139,1.29,19.35,268.25
100140,1.93,18.10,388.91
100153,6.97,23.85,807.38
100157,11.09,30.14,1021.00
100170,11.91,18.83,2013.50
100175,12.50,34.70,1244.53
100176,45.84,38.58,3709.71
100177,7.70,25.82,911.68
100185,10.89,24.59,1291.28
100191,6.59,24.37,843.50
100195,10.98,27.93,1292.71
100200,5.90,22.14,1125.30
100205,11.93,33.14,1128.44
100206,4.03,17.75,771.71
100210,13.77,31.87,1653.67
100216,5.75,27.38,710.61
100218,4.34,23.62,818.90
100238,5.21,24.19,856.62
100241,7.78,31.14,1095.25
100244,8.03,23.57,1188.50
100245,10.92,33.10,1084.67
100255,15.09,23.26,1393.90
100258,6.31,21.06,1022.75
100263,5.37,20.53,848.10
100266,5.56,18.41,619.94
100268,5.63,18.34,1041.58
100274,3.48,16.49,760.13
100275,2.40,18.23,420.23
100288,4.02,22.34,529.40
100289,3.11,22.60,495.00
100292,5.14,21.74,692.61
100309,5.67,25.15,776.61
100323,7.44,25.96,1007.34
100326,1.63,16.61,325.00
100328,10.13,27.28,1194.50
100337,7.50,29.22,704.25
100341,12.74,23.74,1177.35
100347,14.66,34.15,1453.31
100350,5.07,26.87,782.12
100370,8.30,20.98,1065.90
100373,3.74,19.16,650.25
100383,4.39,19.27,630.51
100387,4.06,24.75,510.73
100394,7.02,25.65,859.29
100402,5.79,24.59,710.00
100419,2.86,18.71,545.40
100422,11.91,33.96,1098.60
100428,7.02,32.05,756.33
100435,10.89,30.27,1265.89
100453,8.49,22.15,991.69
100465,8.91,30.76,859.41
100486,10.32,30.41,1173.12
100488,6.89,20.79,1067.23
100489,5.39,24.93,691.74
100497,6.47,21.29,954.68
100499,4.59,18.02,1079.59
100501,14.76,29.09,4630.50
100505,15.68,25.44,1747.84
100508,17.34,36.88,1516.32
100513,15.02,32.14,1231.12
100514,7.30,24.41,931.18
100536,2.66,16.37,660.05
100537,5.67,19.45,925.58
100542,1.40,18.26,295.83
100555,3.70,20.74,659.08
100561,6.43,20.94,1105.00
100573,7.67,22.54,1019.79
100588,3.96,22.31,593.40
100593,6.08,27.30,604.46
100601,8.21,24.67,1065.87
100604,6.66,22.41,1031.50
100605,6.98,29.74,692.00
100607,5.03,24.31,655.08
100645,4.05,20.81,643.08
100647,12.78,25.13,1900.27
100666,4.14,25.32,545.60
100698,5.40,24.73,708.92
100705,3.51,19.91,699.94
100726,13.41,29.24,1220.94
100741,1.18,16.41,261.00
100773,2.50,20.26,402.00
100775,15.82,26.02,1545.74
100776,14.55,31.98,1244.57
100788,5.44,21.96,862.69
100801,13.57,36.23,1049.41
100831,6.14,26.28,690.56
100833,7.27,27.28,936.58
100851,4.77,23.35,596.18
100852,2.69,20.66,489.50
100891,6.60,28.49,769.88
100892,8.88,27.79,1005.80
100894,11.71,27.51,1066.22
100926,4.60,28.36,476.22
100949,6.42,22.33,792.65
100954,7.43,22.33,1061.50
100956,6.11,23.58,653.68
100961,6.28,15.47,1783.14
100967,6.00,26.15,697.88
101008,7.06,27.34,850.37
101020,4.28,25.90,588.90
101054,5.02,23.45,680.39
101085,6.68,24.60,873.19
101086,0.41,9.99,151.67
101104,8.22,30.62,916.00
101112,5.10,25.15,682.54
101116,4.26,20.49,726.81
101120,2.82,19.85,444.08
101181,13.07,32.45,1245.08
101190,7.23,26.13,946.71
101204,1.88,16.36,391.89
101209,4.32,19.83,756.00
101213,9.16,28.49,1026.42
101214,4.49,24.45,812.09
101224,1.15,14.30,262.80
101225,10.02,34.11,1042.32
101258,2.78,18.36,526.19
101270,5.62,20.23,951.35
101274,5.54,22.05,838.13
101302,2.18,15.35,472.25
101308,2.81,21.55,409.40
101312,5.69,23.86,809.24
101340,8.09,23.65,917.37
101371,2.27,15.52,528.64
101406,8.07,28.07,885.37
101407,5.77,23.72,811.00
101411,5.37,22.80,677.71
101414,5.28,21.03,960.44
101420,7.64,25.90,861.53
101421,1.86,16.76,408.08
101431,21.08,33.54,1205.96
101432,3.65,22.44,596.12
101446,7.33,25.07,953.55
101450,2.61,18.08,475.90
101459,2.02,17.80,390.38
101470,0.90,15.58,213.41
101471,12.44,30.48,1325.76
101474,10.02,29.39,1066.23
101476,4.57,21.21,692.76
101482,4.13,21.47,614.26
101497,5.06,19.38,897.24
101500,16.07,36.69,1308.08
101501,5.59,21.67,718.27
101509,14.53,31.59,1467.78
101520,5.16,22.10,764.15
101535,12.83,32.47,1142.06
101536,9.81,29.80,1233.30
101539,8.90,25.36,792.39
101549,4.13,18.83,788.63
101571,3.30,19.71,503.78
101574,13.88,31.58,1348.76
