HHID,CarbonEM,AvgTRIPDIST,AvgTRIPSPD,AvgTRIPDUR,AREATYPE,HHSIZE,WORKERS,DRIVERS,TOTVEH,INCOME,HOMELAT,HOMELONG,GISTAZ,GPSTRIPS
100019.00,0.00,4.35,20.45,746.69,2.00,4.00,3.00,2.00,2.00,3.00,39.17,-84.48,360.00,49.00
100020.00,0.00,7.41,23.94,1048.11,3.00,3.00,2.00,3.00,3.00,3.00,38.99,-84.58,1441.00,39.00
100026.00,0.00,9.19,30.65,976.85,4.00,4.00,2.00,4.00,5.00,3.00,39.47,-84.20,1055.00,102.00
100029.00,0.00,10.26,31.29,956.88,2.00,1.00,0.00,1.00,1.00,2.00,39.14,-84.47,214.00,18.00
100039.00,0.00,6.27,18.78,786.57,2.00,1.00,1.00,1.00,1.00,3.00,39.09,-84.51,1342.00,8.00
100040.00,0.00,5.98,30.34,684.23,4.00,2.00,1.00,2.00,3.00,5.00,39.20,-84.84,1568.00,22.00
100049.00,0.00,6.33,26.98,701.90,3.00,2.00,0.00,1.00,1.00,2.00,39.05,-84.45,1299.00,30.00
100050.00,0.00,4.03,23.21,659.50,3.00,1.00,0.00,1.00,1.00,1.00,39.50,-84.33,1069.00,5.00
100079.00,0.00,8.35,31.66,793.88,3.00,3.00,3.00,3.00,2.00,2.00,39.04,-84.45,1301.00,35.00
100081.00,0.00,11.97,27.98,1238.92,3.00,1.00,1.00,1.00,1.00,4.00,39.04,-84.27,1253.00,20.00
100084.00,0.00,1.89,22.83,293.27,3.00,1.00,0.00,0.00,0.00,2.00,39.07,-84.71,1473.00,13.00
100087.00,0.00,6.33,29.99,699.65,3.00,2.00,0.00,2.00,3.00,3.00,39.01,-84.50,1414.00,18.00
100118.00,0.00,5.31,26.15,665.31,3.00,4.00,4.00,4.00,3.00,4.00,39.35,-84.41,962.00,82.00
100120.00,0.00,2.90,22.81,422.33,3.00,2.00,2.00,2.00,2.00,4.00,39.39,-84.38,926.00,15.00
100126.00,0.00,3.94,18.76,733.19,2.00,5.00,2.00,2.00,2.00,4.00,39.16,-84.49,358.00,31.00
100131.00,0.01,16.32,30.07,1279.93,3.00,2.00,2.00,2.00,2.00,3.00,39.20,-84.24,1142.00,32.00
