Longitude,Latitude,Speed(kilometer),Course(degrees),Number Of Satellites,HDOP,Altitude(meters),DD/MM/YY,HH:MM:SS,Distance(meters)
-084.471880,39.246463,0,72.00,4,2.43,189.00,23/8/2009,16:22:21,0
-084.471881,39.246463,0,72.00,4,2.43,189.00,23/8/2009,16:22:22,0
-084.471881,39.246463,0,72.00,4,2.43,189.00,23/8/2009,16:22:23,0
-084.471881,39.246463,0,72.00,4,2.43,189.00,23/8/2009,16:22:24,0
-084.471881,39.246463,0,62.00,4,2.43,189.00,23/8/2009,16:22:25,0
-084.471883,39.246463,0,62.00,4,1.13,189.00,23/8/2009,16:22:26,0
-084.471881,39.246468,2,58.00,4,2.43,189.00,23/8/2009,16:22:27,0
-084.471878,39.246471,0,54.00,4,2.43,189.00,23/8/2009,16:22:28,0
-084.471876,39.246473,0,54.00,4,2.43,189.00,23/8/2009,16:22:29,0
-084.471876,39.246475,0,54.00,4,2.43,189.00,23/8/2009,16:22:30,0
-084.471876,39.246475,0,54.00,4,2.43,189.00,23/8/2009,16:22:31,0
-084.471876,39.246475,0,54.00,4,2.43,189.00,23/8/2009,16:22:32,0
-084.471876,39.246475,0,54.00,4,2.43,189.00,23/8/2009,16:22:33,0
-084.471876,39.246475,0,54.00,4,2.43,189.00,23/8/2009,16:22:34,0
-084.471876,39.246475,0,54.00,4,2.43,189.00,23/8/2009,16:22:35,0
-084.471876,39.246475,0,54.00,4,1.13,189.00,23/8/2009,16:22:36,0
-084.471876,39.246475,0,54.00,4,2.42,189.00,23/8/2009,16:22:37,0
-084.471876,39.246475,0,54.00,4,2.42,189.00,23/8/2009,16:22:38,0
-084.471880,39.246473,0,44.00,4,1.13,189.00,23/8/2009,16:22:39,0
-084.471886,39.246470,2,34.00,4,2.42,189.00,23/8/2009,16:22:40,0
-084.471891,39.246468,2,24.00,4,2.42,189.00,23/8/2009,16:22:41,0
-084.471896,39.246465,2,14.00,4,2.42,189.00,23/8/2009,16:22:42,0
-084.471895,39.246466,0,14.00,4,2.42,189.00,23/8/2009,16:22:43,0
-084.471896,39.246466,0,14.00,4,2.42,189.00,23/8/2009,16:22:44,0
-084.471896,39.246466,0,14.00,4,2.42,189.00,23/8/2009,16:22:45,0
-084.471896,39.246466,0,14.00,4,2.42,189.00,23/8/2009,16:22:46,0
-084.471896,39.246466,0,14.00,4,2.42,189.00,23/8/2009,16:22:47,0
-084.471896,39.246466,0,14.00,4,2.42,189.00,23/8/2009,16:22:48,0
-084.471896,39.246466,0,14.00,4,2.42,189.00,23/8/2009,16:22:49,0
-084.471896,39.246466,0,14.00,4,2.42,189.00,23/8/2009,16:22:50,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:22:51,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:22:52,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:22:53,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:22:54,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:22:55,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:22:56,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:22:57,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:22:58,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:22:59,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:23:0,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:23:1,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:23:2,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:23:3,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:23:4,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:23:5,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:6,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:7,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:8,0
-084.471896,39.246466,0,14.00,4,2.41,189.00,23/8/2009,16:23:9,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:10,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:11,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:12,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:13,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:14,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:15,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:16,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:17,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:18,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:19,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:20,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:21,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:22,0
-084.471896,39.246466,0,14.00,4,2.40,189.00,23/8/2009,16:23:23,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:24,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:25,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:26,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:27,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:28,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:29,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:30,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:31,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:32,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:33,0
